"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
PHYS8204,Fundamentals of Nuclear Radiation,"First Semester, 2018",Postgraduate,6,In Person
PHYS8201,Fundamentals of Nuclear Science,"First Semester, 2018",Postgraduate,6,In Person
ANTH6025,Gender in Cross-Cultural Perspective,"First Semester, 2018",Postgraduate,6,In Person
ASIA6106,Gender in Korean History,"First Semester, 2018",Postgraduate,6,In Person
BIOL6161,Genes: Replication and Expression,"First Semester, 2018",Postgraduate,6,In Person
BIOL6006,Genetics,"First Semester, 2018",Postgraduate,6,In Person
BIOL6204,Genetics of Human Disease 1,"First Semester, 2018",Postgraduate,6,In Person
BIOL6163,Genomics and its Applications,"First Semester, 2018",Postgraduate,6,In Person
EMSC6802,Geology Reading Course,"First Semester, 2018",Postgraduate,6,In Person
EMSC8702,Geology Reading Course,"First Semester, 2018",Postgraduate,6,In Person
EMSC6801,Geology Research Project,"First Semester, 2018",Postgraduate,3,In Person
EMSC8701,Geology Research Project,"First Semester, 2018",Postgraduate,6,In Person
EMSC6805,Geology Special Topic,"First Semester, 2018",Postgraduate,3,In Person
EMSC8705,Geology Special Topic,"First Semester, 2018",Postgraduate,6,In Person
GERM6051,German Literature and Culture Today,"First Semester, 2018",Postgraduate,6,In Person
GERM6507,German Studies - Advanced 1,"First Semester, 2018",Postgraduate,6,In Person
GERM6503,German Studies Continuing I,"First Semester, 2018",Postgraduate,6,In Person
GERM6505,German Studies Intermediate I,"First Semester, 2018",Postgraduate,6,In Person
GERM6501,German Studies Introduction I,"First Semester, 2018",Postgraduate,6,In Person
POPH8102,Global Population Health,"First Semester, 2018",Postgraduate,6,In Person
POLS8031,"Globalisation: Theories, Issues, Debates","First Semester, 2018",Postgraduate,6,In Person
REGN8002,Governance and Social Theory,"First Semester, 2018",Postgraduate,6,In Person
REGN9053,Governance and Social Theory,"First Semester, 2018",Postgraduate,6,In Person
CRWF8000,"Government, Markets and Global Change","First Semester, 2018",Postgraduate,6,In Person
MUSI8005,"Graduate Composition, Arranging, and Sound Design 2","First Semester, 2018",Postgraduate,12,In Person
PHYS8100,Graduate Diploma in Science (Physics) Topics,"First Semester, 2018",Postgraduate,6,In Person
MUSI8003,Graduate Music Performance 2,"First Semester, 2018",Postgraduate,12,In Person
ANTH8001,Graduate Reading Course (Anthropology),"First Semester, 2018",Postgraduate,6,In Person
LING8001,Graduate Reading Course (Linguistics),"First Semester, 2018",Postgraduate,6,In Person
CLAS8002,Graduate Reading Course A,"First Semester, 2018",Postgraduate,6,In Person
CLAS8003,Graduate Reading Course B,"First Semester, 2018",Postgraduate,6,In Person
ARCH8038,Graduate Reading Course in Archaeological Science,"First Semester, 2018",Postgraduate,6,In Person
LAWS8301,Graduate Research Unit,"First Semester, 2018",Postgraduate,12,In Person
ENGN8170,Group Project,"First Semester, 2018",Postgraduate,12,In Person
BIOL8021,Health and Disease in a Changing World,"First Semester, 2018",Postgraduate,6,Online
COMP6464,High Performance Scientific Computing,"First Semester, 2018",Postgraduate,6,In Person
HIND6100,Hindi 1,"First Semester, 2018",Postgraduate,6,In Person
HIND6300,Hindi 3,"First Semester, 2018",Postgraduate,6,In Person
HIND6500,Hindi 5,"First Semester, 2018",Postgraduate,6,In Person
HIST8023,"History Incorporated: Early Modern Bodies, 1550-1750","First Semester, 2018",Postgraduate,6,In Person
ANTH8017,History of Anthropological Theory,"First Semester, 2018",Postgraduate,6,In Person
ANTH8035,History of Anthropological Theory Extended,"First Semester, 2018",Postgraduate,12,In Person
ENVS6020,Human Ecology,"First Semester, 2018",Postgraduate,6,In Person
BIAN6013,Human Evolution,"First Semester, 2018",Postgraduate,6,In Person
POPH8318,"Human Health, Environment and Climate Change","First Semester, 2018",Postgraduate,6,In Person
BIOL6001,Human Physiology,"First Semester, 2018",Postgraduate,6,In Person
BIAN6517,Human Skeletal Analysis,"First Semester, 2018",Postgraduate,6,In Person
COMP7310,ICT Sustainability,"First Semester, 2018",Postgraduate,6,Online
LAWS6278,Indigenous Community Legal Clinic,"First Semester, 2018",Postgraduate,6,In Person
CHMD8021,"Indigenous Medicines, Health and Healing","First Semester, 2018",Postgraduate,6,In Person
COMP8755,Individual Computing Project,"First Semester, 2018",Postgraduate,6,In Person
ASIA6516,"Indonesia:Politics, Society and Development","First Semester, 2018",Postgraduate,6,In Person
INDN6102,Indonesian 1,"First Semester, 2018",Postgraduate,6,In Person
INDN6002,Indonesian 3,"First Semester, 2018",Postgraduate,6,In Person
INDN6502,Indonesian 5,"First Semester, 2018",Postgraduate,6,In Person
ENGN8833,Industrial Energy Efficiency and Decarbonisation,"First Semester, 2018",Postgraduate,6,In Person
INFS8202,Industry Research Project,"First Semester, 2018",Postgraduate,6,In Person
BIOL6141,Infection and Immunity,"First Semester, 2018",Postgraduate,6,In Person
MGMT7165,Innovation,"First Semester, 2018",Postgraduate,6,In Person
ENGN8831,Integration of Renewable Energy into Power Systems and Microgrids,"First Semester, 2018",Postgraduate,6,In Person
STST8021,Intelligence and Security,"First Semester, 2018",Postgraduate,6,In Person
